file,classifications.SupportedRear.time,classifications.SupportedRear.count,classifications.None.time,classifications.None.count,classifications.UnsupportedRear.time,classifications.UnsupportedRear.count,bodycentre.raw.distance,bodycentre.distance.moving,bodycentre.raw.speed,bodycentre.speed.moving,bodycentre.time.moving,bodycentre.total.time,bodycentre.time.stationary,bodycentre.percentage.moving,bodycentre.light.raw.distance,bodycentre.light.distance.moving,bodycentre.light.raw.speed,bodycentre.light.speed.moving,bodycentre.light.time.moving,bodycentre.light.total.time,bodycentre.light.time.stationary,bodycentre.light.percentage.moving,bodycentre.light.transitions,bodycentre.dark.raw.distance,bodycentre.dark.distance.moving,bodycentre.dark.raw.speed,bodycentre.dark.speed.moving,bodycentre.dark.time.moving,bodycentre.dark.total.time,bodycentre.dark.time.stationary,bodycentre.dark.percentage.moving,bodycentre.dark.transitions,bodycentre..transitions.light.to.dark,bodycentre.latency.to.entry.dark
21_01_A_250701121119DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,191.92,130,389.04,144,11.6,18,5712.012138,4998.817225,9.626554095,13.26931733,376.72,593.36,216.64,63.48928138,2432.811546,2137.860299,10.19448352,14.65090665,145.92,238.64,92.72,61.14649682,87,3244.743083,2846.489534,9.378954455,12.4802242,228.08,345.96,117.88,65.92669673,99,37,16.4
20_04_A_250701114709DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,155.28,108,435.16,113,2.04,7,4056.627204,3101.877211,6.837626759,11.75487802,263.88,593.28,329.4,44.47815534,1667.057797,1262.26263,6.707942207,12.76560103,98.88,248.52,149.64,39.78754225,46,2384.314921,1838.253405,6.942449688,11.16257836,164.68,343.44,178.76,47.95015141,44,22,0.04
19_03_A_250701114648DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,168.52,108.5,407.84,118.5,16.64,23,5186.172406,4390.08325,8.733870673,12.21639373,359.36,593.8,234.44,60.51869316,1336.101652,1146.733028,9.296560343,13.1205152,87.4,143.72,56.32,60.81269134,34,3801.430058,3217.340017,8.651411148,11.98532267,268.44,439.4,170.96,61.09239873,52,15,0.04
18_02_A_250701114624DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,127.96,98,438.12,116,26.4,32,4775.869162,3889.981047,8.04994128,12.65775429,307.32,593.28,285.96,51.80016181,2423.82857,1925.34832,7.809732472,12.83565547,150,310.36,160.36,48.33097049,63,2325.373214,1946.19225,8.371879372,12.53021021,155.32,277.76,122.44,55.9187788,69,27,0.04
17_01_A_250701114537DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,124.04,84.5,465.52,91.5,3.48,9,3885.965876,2846.994891,6.543792732,11.32276046,251.44,593.84,342.4,42.34137141,1642.905183,1323.391781,7.61027044,12.85345553,102.96,215.88,112.92,47.69316287,29,2227.408159,1516.304593,5.955636788,10.28700538,147.4,374,226.6,39.41176471,23,10,136.88
16_04_A_250701112121DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,199.64,96,382.16,103,11,14,5006.455917,4236.129945,8.434056464,12.44017956,340.52,593.6,253.08,57.36522911,1913.354758,1632.116426,8.731995063,13.64189591,119.64,219.12,99.48,54.60021906,68,3075.569436,2598.066689,8.309654804,11.81368993,219.92,370.12,150.2,59.41856695,62,29,0.84
15_03_A_250701112057DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,178.8,112,400.96,116,12.52,18,4669.100505,3793.31109,7.872631863,12.31114855,308.12,593.08,284.96,51.95251905,1819.756009,1430.659668,7.351955434,12.05883065,118.64,247.52,128.88,47.93148028,48,2795.587526,2331.541457,8.369020254,12.58388092,185.28,334.04,148.76,55.46641121,62,20,0.04
14_02_A_250701112033DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,231.6,135.5,339.24,150.5,22.12,27,5622.224878,4846.2187,9.468850846,13.76766676,352,593.76,241.76,59.28321207,2717.098968,2309.480831,9.267049686,14.19646441,162.68,293.2,130.52,55.48431105,122,2862.026324,2515.22762,9.828387103,13.51401042,186.12,291.2,105.08,63.91483516,100,48,5.12
13_01_A_250701111943DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,219.44,144,355.72,159.5,17.88,30.5,5001.730465,4163.301945,8.422690396,12.62065583,329.88,593.84,263.96,55.55031658,1692.094847,1441.001096,9.536152203,14.52036574,99.24,177.44,78.2,55.92876465,70,3266.262866,2707.546145,8.054504996,11.88145579,227.88,405.52,177.64,56.19451568,84,29,0.04
12_04_A_250701105714DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,246.68,139,340.36,146,6.16,13,5271.292002,4492.029268,8.87422896,12.99476183,345.68,594,248.32,58.1952862,1556.332965,1357.911242,9.46214108,14.66426827,92.6,164.48,71.88,56.29863813,69,3683.529168,3122.584002,8.747813167,12.42671125,251.28,421.08,169.8,59.67512112,63,25,0.08
