file,classifications.SupportedRear.time,classifications.SupportedRear.count,classifications.None.time,classifications.None.count,classifications.UnsupportedRear.time,classifications.UnsupportedRear.count,bodycentre.raw.distance,bodycentre.distance.moving,bodycentre.raw.speed,bodycentre.speed.moving,bodycentre.time.moving,bodycentre.total.time,bodycentre.time.stationary,bodycentre.percentage.moving,bodycentre.light.raw.distance,bodycentre.light.distance.moving,bodycentre.light.raw.speed,bodycentre.light.speed.moving,bodycentre.light.time.moving,bodycentre.light.total.time,bodycentre.light.time.stationary,bodycentre.light.percentage.moving,bodycentre.light.transitions,bodycentre.dark.raw.distance,bodycentre.dark.distance.moving,bodycentre.dark.raw.speed,bodycentre.dark.speed.moving,bodycentre.dark.time.moving,bodycentre.dark.total.time,bodycentre.dark.time.stationary,bodycentre.dark.percentage.moving,bodycentre.dark.transitions,bodycentre..transitions.light.to.dark,bodycentre.latency.to.entry.dark
56_04_A_250703130310DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,207.88,113,382.16,115,2.92,5,4737.950712,3873.009496,7.97957207,11.98480473,323.16,593.76,270.6,54.42603072,1875.16213,1559.34331,8.384734978,13.27326618,117.48,223.64,106.16,52.53085316,44,2833.786852,2304.25296,7.806575351,11.26443567,204.56,363,158.44,56.35261708,46,18,1.88
55_03_A_250703130246DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,219.84,137.5,358.64,143,13.56,14.5,5275.831265,4465.035879,8.899249823,13.15877602,339.32,592.84,253.52,57.23635382,1828.329306,1630.729518,10.63971896,14.78717372,110.28,171.84,61.56,64.17597765,71,3410.141729,2822.288613,8.305264806,12.41330319,227.36,410.6,183.24,55.37262543,76,30,2.84
54_02_A_250703130224DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,230.2,114,358.8,122,3.2,12,5212.433963,4406.570679,8.78993923,12.41007851,355.08,593,237.92,59.87858347,1794.451373,1579.48588,10.0315931,13.94812681,113.24,178.88,65.64,63.30500894,66,3372.473646,2800.752251,8.327917932,11.74615103,238.44,404.96,166.52,58.87988937,58,25,0.04
53_01_A_250703130152DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,171.52,110,411.6,116,9.08,16,4306.346979,3430.581543,7.261967924,11.75500803,291.84,593,301.16,49.21416526,1648.943919,1398.54931,8.687797257,13.66304524,102.36,189.8,87.44,53.93045311,45,2627.783323,2019.740496,6.678993806,10.75245153,187.84,393.44,205.6,47.74298495,43,17,8.4
52_04_A_250703123956DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,171.52,93.5,418.2,100.5,3.24,9,4806.546894,3931.886361,8.095100535,12.57640213,312.64,593.76,281.12,52.65427109,2196.17122,1832.920261,8.612436155,13.79380088,132.88,255,122.12,52.10980392,48,2597.405016,2096.762438,7.773868718,11.69024553,179.36,334.12,154.76,53.6813121,32,16,0.04
51_03_A_250703123927DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,235.88,149.5,348.84,160.5,8.08,16,6948.239716,6320.730858,11.70525559,15.89721041,397.6,593.6,196,66.98113208,3261.924184,2959.888645,11.97475839,16.70366053,177.2,272.4,95.2,65.05139501,137,3588.144377,3316.423399,12.12702574,15.45685775,214.56,295.88,81.32,72.51588482,149,56,0.04
50_02_A_250703123852DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,163.48,95,418.2,109,10.88,18,4207.417168,3259.924535,7.090833841,11.84910052,275.12,593.36,318.24,46.36645544,1557.495352,1267.105479,8.013456224,12.81976405,98.84,194.36,95.52,50.8540852,47,2623.72647,1979.449169,6.680908714,11.34744995,174.44,392.72,218.28,44.41841516,49,19,0.04
49_01_A_250703123832DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,217.24,163.5,372.72,168.5,2.56,6,6830.062226,6262.567042,11.51159952,14.90519574,420.16,593.32,173.16,70.8150745,2453.163516,2303.530176,13.28907647,16.88310009,136.44,184.6,48.16,73.91115926,90,4322.04025,3934.744429,10.93412328,14.03661683,280.32,395.28,114.96,70.91681846,104,37,0.04
48_04_A_250703121449DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,212.92,127,366.76,133,12.8,21,5450.259752,4711.966012,9.18665681,13.87831648,339.52,593.28,253.76,57.22761597,2172.873365,1869.981001,9.059678807,15.23282015,122.76,239.84,117.08,51.18412275,74,3268.312159,2839.548064,9.314615136,13.13632524,216.16,350.88,134.72,61.60510716,68,33,0.8
47_03_A_250703121422DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,194.8,106,382.88,120,14.6,21,4811.27694,3935.294136,8.112357423,11.73733636,335.28,593.08,257.8,56.53200243,1936.389302,1619.858194,8.469162448,12.4834941,129.76,228.64,98.88,56.75297411,64,2820.190457,2287.273944,8.018282886,11.36590113,201.24,351.72,150.48,57.21596725,62,22,0.04
46_02_A_250703121343DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,173.88,97.5,392.2,118.5,26.48,30,5073.967348,4241.658407,8.551246036,13.31175749,318.64,593.36,274.72,53.70095726,2514.534318,1997.877688,7.556600307,13.17861272,151.6,332.76,181.16,45.55836038,67,2535.253316,2234.586553,9.931264948,13.47110292,165.88,255.28,89.4,64.97963021,65,29,0.04
45_01_A_250703121315DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,217.72,128,364.48,136,10.28,14,5872.922056,5188.830932,9.899073045,13.61897882,381,593.28,212.28,64.21925566,2457.807557,2140.643962,9.737747847,14.35517678,149.12,252.4,103.28,59.08082409,90,3390.508665,3039.616511,10.1902761,13.18591233,230.52,332.72,102.2,69.28348161,77,36,0.16
44_04_A_250703115259DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,223.56,115,358.44,121,10.28,14,4990.314173,4144.950038,8.414234459,13.24773088,312.88,593.08,280.2,52.75510892,1808.246331,1566.096788,9.547235115,15.22847908,102.84,189.4,86.56,54.29778247,49,3162.10535,2570.198643,7.949782155,12.3306402,208.44,397.76,189.32,52.40345937,51,22,8.4
43_03_A_250703115222DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,257.76,170.5,324.8,169.5,10.64,21,6105.366375,5380.294982,10.27839457,14.50683505,370.88,594,223.12,62.43771044,2748.858401,2408.201556,10.48222392,15.46097558,155.76,262.24,106.48,59.39597315,99,3298.358646,2944.252008,10.372197,13.93530863,211.28,318,106.72,66.44025157,95,38,0.04
42_02_A_250703115202DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,173.4,108,400.04,125.5,19.04,28.5,4939.739495,4064.355873,8.326152062,12.87003126,315.8,593.28,277.48,53.22950378,1624.937655,1415.94212,9.373198285,14.10863013,100.36,173.36,73,57.89109368,46,3296.103887,2637.106517,7.911915236,12.33214795,213.84,416.6,202.76,51.32981277,50,21,6.88
41_01_A_250703115140DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,218.92,123,362.56,129,10.92,12,5563.782568,4817.610286,9.379269333,13.41354908,359.16,593.2,234.04,60.54619016,2511.88793,2268.896247,11.17586728,15.47256033,146.64,224.76,78.12,65.24292579,62,3001.814353,2525.484981,8.406559744,12.10218986,208.68,357.08,148.4,58.44068556,70,22,4.12
40_04_A_250703112927DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,275.24,131.5,310.72,133.5,6,10,5816.397258,5149.793713,9.81239837,14.22280632,362.08,592.76,230.68,61.08374384,2609.191823,2299.668735,9.8743257,15.16131814,151.68,264.24,112.56,57.40236149,92,3181.795502,2841.938087,10.02835194,13.60820766,208.84,317.28,108.44,65.82198689,82,37,0.04
39_03_A_250703112836DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,191.68,128.5,395,135.5,6.04,13,4829.245768,3987.066973,8.136618426,13.47164135,295.96,593.52,297.56,49.86521094,1354.893533,1172.103222,10.04517744,15.11221277,77.56,134.88,57.32,57.5029656,41,3404.44915,2780.243737,7.718439171,13.04788688,213.08,441.08,228,48.30869684,71,17,0.04
38_02_A_250703112804DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,199.64,93.5,378.92,103.5,13.92,12,5453.088852,4637.991073,9.191425385,13.85301993,334.8,593.28,258.48,56.43203883,2287.534613,1968.462503,9.556879231,14.62453568,134.6,239.36,104.76,56.23328877,49,3143.946764,2659.050616,9.006378951,13.38897591,198.6,349.08,150.48,56.89240289,53,22,9.92
37_01_A_250703112746DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,193,126,386.88,137,12.4,19,6077.185361,5449.315895,10.24682229,14.319203,380.56,593.08,212.52,64.16672287,2044.248537,1890.012408,12.23807793,16.2988307,115.96,167.04,51.08,69.42049808,72,3980.662066,3532.173508,9.596581645,13.54361008,260.8,414.8,154,62.87367406,92,30,0.04
36_04_A_250703110422DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,207.44,101,382.88,106,2.4,7,4877.978458,4059.492281,8.21872634,12.48152835,325.24,593.52,268.28,54.79849036,1806.024326,1556.175348,9.282608582,14.10090022,110.36,194.56,84.2,56.72286184,43,3042.317179,2492.445436,7.805616735,11.69722844,213.08,389.76,176.68,54.66954023,53,18,8.56
35_03_A_250703110357DLC_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv,154.96,89.5,434.08,95.5,3.28,7,4986.734264,4114.456919,8.407631279,12.7572148,322.52,593.12,270.6,54.3768546,1470.829001,1325.646369,10.78636698,14.27882775,92.84,136.36,43.52,68.08448225,41,3460.383232,2763.631205,7.799980237,12.22629271,226.04,443.64,217.6,50.95122171,55,17,6.56
