"ID" "name" "Binom_Genome_Fraction" "Binom_Expected" "Binom_Observed_Region_Hits" "Binom_Fold_Enrichment" "Binom_Region_Set_Coverage" "Binom_Raw_PValue" "Binom_Adjp_BH" "Hyper_Total_Genes" "Hyper_Expected" "Hyper_Observed_Gene_Hits" "Hyper_Fold_Enrichment" "Hyper_Gene_Set_Coverage" "Hyper_Term_Gene_Coverage" "Hyper_Raw_PValue" "Hyper_Adjp_BH"
"229" "GO:0042254" "ribosome biogenesis" 0.01588977 1.716095 5 2.913592 0.0462963 0.02946542 1 274 2.458892 5 2.033436 0.02604167 0.01824818 0.1011896 1
"230" "GO:0000075" "cell cycle checkpoint" 0.01072792 1.158615 4 3.452398 0.03703704 0.02948325 1 151 1.355083 4 2.951849 0.02083333 0.02649007 0.04737599 1
"231" "GO:2000255" "negative regulation of male germ cell proliferation" 0.0002789263 0.03012404 1 33.19607 0.009259259 0.02967891 1 4 0.03589624 1 27.85807 0.005208333 0.25 0.03541837 1
"232" "GO:0002826" "negative regulation of T-helper 1 type immune response" 0.0002816436 0.03041751 1 32.8758 0.009259259 0.02996371 1 6 0.05384436 1 18.57205 0.005208333 0.1666667 0.05265672 1
"233" "GO:0044770" "cell cycle phase transition" 0.01081556 1.168081 4 3.424421 0.03703704 0.03024458 1 134 1.202524 4 3.326337 0.02083333 0.02985075 0.03279661 1
"234" "GO:0001829" "trophectodermal cell differentiation" 0.00250653 0.2707053 2 7.388108 0.01851852 0.03046417 1 25 0.2243515 2 8.914583 0.01041667 0.08 0.02098948 1
"235" "GO:0042249" "establishment of planar polarity of embryonic epithelium" 0.0002884114 0.03114843 1 32.10435 0.009259259 0.03067267 1 5 0.0448703 1 22.28646 0.005208333 0.2 0.0440762 1
"236" "GO:0001920" "negative regulation of receptor recycling" 0.0002918262 0.03151723 1 31.72867 0.009259259 0.0310302 1 4 0.03589624 1 27.85807 0.005208333 0.25 0.03541837 1
"237" "GO:0000070" "mitotic sister chromatid segregation" 0.006298027 0.6801869 3 4.410552 0.02777778 0.03128655 1 94 0.8435616 3 3.55635 0.015625 0.03191489 0.05269925 1
"238" "GO:0010638" "positive regulation of organelle organization" 0.04042702 4.366119 9 2.061327 0.08333333 0.03130157 1 514 4.612667 9 1.951149 0.046875 0.01750973 0.04288931 1
"239" "GO:0006309" "apoptotic DNA fragmentation" 0.0002998307 0.03238171 1 30.88163 0.009259259 0.03186774 1 7 0.06281842 1 15.9189 0.005208333 0.1428571 0.06116062 1
"240" "GO:2001020" "regulation of response to DNA damage stimulus" 0.01623933 1.753848 5 2.850875 0.0462963 0.03191278 1 178 1.597383 5 3.130121 0.02604167 0.02808989 0.02240431 1
"241" "GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.006348474 0.6856352 3 4.375505 0.02777778 0.0319212 1 75 0.6730545 3 4.457292 0.015625 0.04 0.02998695 1
"242" "GO:0042304" "regulation of fatty acid biosynthetic process" 0.002580239 0.2786658 2 7.177055 0.01851852 0.03211803 1 35 0.3140921 2 6.36756 0.01041667 0.05714286 0.03927542 1
"243" "GO:0044764" "multi-organism cellular process" 0.01104105 1.192434 4 3.354484 0.03703704 0.03225661 1 157 1.408927 4 2.839039 0.02083333 0.02547771 0.05325342 1
"244" "GO:1901360" "organic cyclic compound metabolic process" 0.3013453 32.5453 42 1.290509 0.3888889 0.03226106 1 4156 37.29619 48 1.286995 0.25 0.01154957 0.03362403 1
"245" "GO:0022409" "positive regulation of cell-cell adhesion" 0.02196197 2.371892 6 2.529626 0.05555556 0.03231275 1 207 1.85763 6 3.229921 0.03125 0.02898551 0.01112648 1
"246" "GO:0007080" "mitotic metaphase plate congression" 0.002593978 0.2801496 2 7.139042 0.01851852 0.03243015 1 40 0.3589624 2 5.571615 0.01041667 0.05 0.05001864 1
"247" "GO:1903050" "regulation of proteolysis involved in cellular protein catabolic process" 0.01636032 1.766915 5 2.829791 0.0462963 0.03278874 1 183 1.642253 5 3.044598 0.02604167 0.0273224 0.02488007 1
"248" "GO:0046351" "disaccharide biosynthetic process" 0.0003120556 0.03370201 1 29.67182 0.009259259 0.0331455 1 4 0.03589624 1 27.85807 0.005208333 0.25 0.03541837 1
"249" "GO:0006807" "nitrogen compound metabolic process" 0.3368253 36.37713 46 1.264531 0.4259259 0.0332544 1 4726 42.4114 52 1.226085 0.2708333 0.01100296 0.0585802 1
