"ID" "name" "Binom_Genome_Fraction" "Binom_Expected" "Binom_Observed_Region_Hits" "Binom_Fold_Enrichment" "Binom_Region_Set_Coverage" "Binom_Raw_PValue" "Binom_Adjp_BH" "Hyper_Total_Genes" "Hyper_Expected" "Hyper_Observed_Gene_Hits" "Hyper_Fold_Enrichment" "Hyper_Gene_Set_Coverage" "Hyper_Term_Gene_Coverage" "Hyper_Raw_PValue" "Hyper_Adjp_BH"
"378" "GO:0036343" "psychomotor behavior" 0.0005200772 0.05616834 1 17.80362 0.009259259 0.05463383 1 4 0.03589624 1 27.85807 0.005208333 0.25 0.03541837 1
"379" "GO:0021513" "spinal cord dorsal/ventral patterning" 0.003470621 0.3748271 2 5.335794 0.01851852 0.05465185 1 25 0.2243515 2 8.914583 0.01041667 0.08 0.02098948 1
"380" "GO:0072524" "pyridine-containing compound metabolic process" 0.007900417 0.8532451 3 3.515989 0.02777778 0.05467382 1 102 0.9153541 3 3.27742 0.015625 0.02941176 0.06415001 1
"381" "GO:0035520" "monoubiquitinated protein deubiquitination" 0.0005221323 0.05639029 1 17.73355 0.009259259 0.05484375 1 9 0.08076653 1 12.38137 0.005208333 0.1111111 0.07794127 1
"382" "GO:0030301" "cholesterol transport" 0.003482176 0.376075 2 5.318088 0.01851852 0.05497277 1 47 0.4217808 2 4.7418 0.01041667 0.04255319 0.06658106 1
"383" "GO:0051004" "regulation of lipoprotein lipase activity" 0.000523585 0.05654718 1 17.68435 0.009259259 0.0549921 1 17 0.152559 1 6.554841 0.005208333 0.05882353 0.1421322 1
"384" "GO:0031331" "positive regulation of cellular catabolic process" 0.01896655 2.048387 5 2.440945 0.0462963 0.05535598 1 212 1.902501 5 2.62812 0.02604167 0.02358491 0.04267125 1
"385" "GO:0070647" "protein modification by small protein conjugation or removal" 0.05926599 6.400727 11 1.718555 0.1018519 0.05569572 1 788 7.071559 11 1.555527 0.05729167 0.01395939 0.09868397 1
"386" "GO:1904031" "positive regulation of cyclin-dependent protein kinase activity" 0.0035129 0.3793931 2 5.271577 0.01851852 0.0558293 1 42 0.3769105 2 5.3063 0.01041667 0.04761905 0.05457921 1
"387" "GO:0010942" "positive regulation of cell death" 0.0593041 6.404843 11 1.71745 0.1018519 0.05590233 1 603 5.411358 12 2.217558 0.0625 0.0199005 0.008468793 1
"388" "GO:2000786" "positive regulation of autophagosome assembly" 0.0005356211 0.05784708 1 17.28696 0.009259259 0.05622036 1 10 0.08974059 1 11.14323 0.005208333 0.1 0.08621936 1
"389" "GO:0043044" "ATP-dependent chromatin remodeling" 0.003526889 0.380904 2 5.250667 0.01851852 0.05622087 1 45 0.4038327 2 4.952546 0.01041667 0.04444444 0.06168138 1
"390" "GO:0032436" "positive regulation of proteasomal ubiquitin-dependent protein catabolic process" 0.007997275 0.8637057 3 3.473405 0.02777778 0.05629526 1 82 0.7358729 3 4.076791 0.015625 0.03658537 0.03759717 1
"391" "GO:0015918" "sterol transport" 0.003530115 0.3812524 2 5.245869 0.01851852 0.05631131 1 48 0.4307548 2 4.643012 0.01041667 0.04166667 0.06907806 1
"392" "GO:0031123" "RNA 3'-end processing" 0.003531917 0.381447 2 5.243192 0.01851852 0.05636185 1 67 0.601262 2 3.326337 0.01041667 0.02985075 0.1215084 1
"393" "GO:0045842" "positive regulation of mitotic metaphase/anaphase transition" 0.000541584 0.05849107 1 17.09663 0.009259259 0.05682828 1 6 0.05384436 1 18.57205 0.005208333 0.1666667 0.05265672 1
"394" "GO:0036292" "DNA rewinding" 0.000545505 0.05891454 1 16.97374 0.009259259 0.05722782 1 2 0.01794812 1 55.71615 0.005208333 0.5 0.017868 1
"395" "GO:1904668" "positive regulation of ubiquitin protein ligase activity" 0.000546439 0.05901542 1 16.94472 0.009259259 0.05732297 1 9 0.08076653 1 12.38137 0.005208333 0.1111111 0.07794127 1
"396" "GO:0031032" "actomyosin structure organization" 0.008072033 0.8717796 3 3.441237 0.02777778 0.05756235 1 97 0.8704838 3 3.44636 0.015625 0.03092784 0.05686736 1
"397" "GO:0008104" "protein localization" 0.136415 14.73282 21 1.425389 0.1944444 0.05794524 1 1683 15.10334 22 1.456631 0.1145833 0.0130719 0.04813351 1
"398" "GO:0007096" "regulation of exit from mitosis" 0.000552876 0.05971061 1 16.74744 0.009259259 0.05797844 1 14 0.1256368 1 7.959449 0.005208333 0.07142857 0.1185989 1
"399" "GO:0051171" "regulation of nitrogen compound metabolic process" 0.3309862 35.74651 44 1.230889 0.4074074 0.05812095 1 4240 38.05001 46 1.208935 0.2395833 0.01084906 0.08983996 1
"400" "GO:0007220" "Notch receptor processing" 0.0005654046 0.0610637 1 16.37634 0.009259259 0.05925293 1 12 0.1076887 1 9.286024 0.005208333 0.08333333 0.1025544 1
"401" "GO:0050867" "positive regulation of cell activation" 0.02557509 2.76211 6 2.172253 0.05555556 0.05940241 1 283 2.539659 6 2.362522 0.03125 0.02120141 0.04282611 1
"402" "GO:0045930" "negative regulation of mitotic cell cycle" 0.0193683 2.091776 5 2.390313 0.0462963 0.05947324 1 197 1.76789 5 2.828231 0.02604167 0.02538071 0.03272392 1
"403" "GO:0090669" "telomerase RNA stabilization" 0.0005695609 0.06151258 1 16.25684 0.009259259 0.05967536 1 4 0.03589624 1 27.85807 0.005208333 0.25 0.03541837 1
"404" "GO:0030163" "protein catabolic process" 0.03883015 4.193656 8 1.907643 0.07407407 0.05972444 1 554 4.971629 8 1.609131 0.04166667 0.01444043 0.12671 1
"405" "GO:0046473" "phosphatidic acid metabolic process" 0.0005701316 0.06157422 1 16.24056 0.009259259 0.05973335 1 11 0.09871465 1 10.13021 0.005208333 0.09090909 0.09442352 1
"406" "GO:0030901" "midbrain development" 0.008203105 0.8859353 3 3.386252 0.02777778 0.05981649 1 80 0.7179247 3 4.178711 0.015625 0.0375 0.03533109 1
"407" "GO:0032271" "regulation of protein polymerization" 0.01356495 1.465014 4 2.730349 0.03703704 0.06005645 1 182 1.633279 4 2.449061 0.02083333 0.02197802 0.08175977 1
"408" "GO:0070072" "vacuolar proton-transporting V-type ATPase complex assembly" 0.000575534 0.06215767 1 16.08812 0.009259259 0.06028211 1 11 0.09871465 1 10.13021 0.005208333 0.09090909 0.09442352 1
"409" "GO:0015937" "coenzyme A biosynthetic process" 0.0005766222 0.0622752 1 16.05776 0.009259259 0.06039261 1 10 0.08974059 1 11.14323 0.005208333 0.1 0.08621936 1
"410" "GO:0021591" "ventricular system development" 0.003688273 0.3983335 2 5.020919 0.01851852 0.06080742 1 32 0.2871699 2 6.964518 0.01041667 0.0625 0.03331567 1
"411" "GO:0001833" "inner cell mass cell proliferation" 0.0005819192 0.06284727 1 15.91159 0.009259259 0.06093029 1 16 0.1435849 1 6.964518 0.005208333 0.0625 0.1343581 1
"412" "GO:0009987" "cellular process" 0.8087012 87.33972 94 1.076257 0.8703704 0.06104156 1 14736 132.2417 146 1.104039 0.7604167 0.009907709 0.01728326 1
"413" "GO:0051292" "nuclear pore complex assembly" 0.0005833794 0.06300498 1 15.87176 0.009259259 0.06107846 1 10 0.08974059 1 11.14323 0.005208333 0.1 0.08621936 1
"414" "GO:0016556" "mRNA modification" 0.0005848551 0.06316435 1 15.83171 0.009259259 0.06122818 1 15 0.1346109 1 7.428819 0.005208333 0.06666667 0.1265138 1
"415" "GO:0002698" "negative regulation of immune effector process" 0.008294526 0.8958088 3 3.348929 0.02777778 0.06141309 1 120 1.076887 3 2.785807 0.015625 0.025 0.09363074 1
"416" "GO:0051131" "chaperone-mediated protein complex assembly" 0.0005874462 0.06344419 1 15.76188 0.009259259 0.061491 1 11 0.09871465 1 10.13021 0.005208333 0.09090909 0.09442352 1
"417" "GO:0006282" "regulation of DNA repair" 0.008299216 0.8963153 3 3.347036 0.02777778 0.06149553 1 94 0.8435616 3 3.55635 0.015625 0.03191489 0.05269925 1
"418" "GO:0006308" "DNA catabolic process" 0.0005876184 0.06346279 1 15.75726 0.009259259 0.06150847 1 17 0.152559 1 6.554841 0.005208333 0.05882353 0.1421322 1
"419" "GO:1901030" "positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway" 0.0005900535 0.06372578 1 15.69224 0.009259259 0.06175539 1 10 0.08974059 1 11.14323 0.005208333 0.1 0.08621936 1
"420" "GO:2000483" "negative regulation of interleukin-8 secretion" 0.0005971677 0.06449411 1 15.50529 0.009259259 0.06247643 1 6 0.05384436 1 18.57205 0.005208333 0.1666667 0.05265672 1
"421" "GO:0021511" "spinal cord patterning" 0.003753486 0.4053765 2 4.933686 0.01851852 0.06269615 1 27 0.2422996 2 8.254244 0.01041667 0.07407407 0.02427264 1
"422" "GO:0042129" "regulation of T cell proliferation" 0.01377206 1.487382 4 2.689289 0.03703704 0.06276597 1 156 1.399953 4 2.857238 0.02083333 0.02564103 0.05224746 1
"423" "GO:0043954" "cellular component maintenance" 0.003762737 0.4063756 2 4.921555 0.01851852 0.06296571 1 41 0.3679364 2 5.435722 0.01041667 0.04878049 0.05228096 1
"424" "GO:0006733" "oxidoreduction coenzyme metabolic process" 0.008390576 0.9061822 3 3.310592 0.02777778 0.06311194 1 113 1.014069 3 2.958379 0.015625 0.02654867 0.08158504 1
"425" "GO:1904814" "regulation of protein localization to chromosome, telomeric region" 0.00060409 0.06524172 1 15.32762 0.009259259 0.06317748 1 13 0.1166628 1 8.571715 0.005208333 0.07692308 0.1106126 1
"426" "GO:0048585" "negative regulation of response to stimulus" 0.1378213 14.8847 21 1.410845 0.1944444 0.06331461 1 1409 12.64445 21 1.660808 0.109375 0.01490419 0.0154524 1
"427" "GO:0006000" "fructose metabolic process" 0.0006078055 0.06564299 1 15.23392 0.009259259 0.06355356 1 12 0.1076887 1 9.286024 0.005208333 0.08333333 0.1025544 1
"428" "GO:0097435" "supramolecular fiber organization" 0.0326107 3.521956 7 1.987532 0.06481481 0.06377942 1 384 3.446039 7 2.031318 0.03645833 0.01822917 0.05864921 1
"429" "GO:0070459" "prolactin secretion" 0.000610474 0.06593119 1 15.16733 0.009259259 0.06382357 1 4 0.03589624 1 27.85807 0.005208333 0.25 0.03541837 1
"430" "GO:0042176" "regulation of protein catabolic process" 0.0326233 3.523316 7 1.986765 0.06481481 0.06388334 1 342 3.069128 7 2.280778 0.03645833 0.02046784 0.03514792 1
"431" "GO:0034315" "regulation of Arp2/3 complex-mediated actin nucleation" 0.0006119286 0.06608829 1 15.13127 0.009259259 0.06397071 1 17 0.152559 1 6.554841 0.005208333 0.05882353 0.1421322 1
"432" "GO:0016192" "vesicle-mediated transport" 0.07560982 8.16586 13 1.591994 0.1203704 0.06432095 1 983 8.8215 13 1.473672 0.06770833 0.01322482 0.1055183 1
"433" "GO:0061744" "motor behavior" 0.0006162299 0.06655283 1 15.02566 0.009259259 0.06440571 1 5 0.0448703 1 22.28646 0.005208333 0.2 0.0440762 1
"434" "GO:0039535" "regulation of RIG-I signaling pathway" 0.0006189929 0.06685123 1 14.95859 0.009259259 0.06468502 1 16 0.1435849 1 6.964518 0.005208333 0.0625 0.1343581 1
"435" "GO:0000819" "sister chromatid segregation" 0.008497597 0.9177405 3 3.268898 0.02777778 0.06503044 1 121 1.085861 3 2.762784 0.015625 0.02479339 0.09540851 1
"436" "GO:0072108" "positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis" 0.0006243125 0.06742575 1 14.83113 0.009259259 0.06522256 1 4 0.03589624 1 27.85807 0.005208333 0.25 0.03541837 1
"437" "GO:0048285" "organelle fission" 0.01993045 2.152489 5 2.322892 0.0462963 0.06552188 1 327 2.934517 5 1.703858 0.02604167 0.01529052 0.1716961 1
"438" "GO:0006111" "regulation of gluconeogenesis" 0.0038519 0.4160052 2 4.807632 0.01851852 0.06558389 1 51 0.457677 2 4.369894 0.01041667 0.03921569 0.07674869 1
"439" "GO:0048105" "establishment of body hair planar orientation" 0.000628819 0.06791245 1 14.72484 0.009259259 0.06567769 1 4 0.03589624 1 27.85807 0.005208333 0.25 0.03541837 1
"440" "GO:0036438" "maintenance of lens transparency" 0.0006291797 0.06795141 1 14.7164 0.009259259 0.06571411 1 5 0.0448703 1 22.28646 0.005208333 0.2 0.0440762 1
"441" "GO:0051052" "regulation of DNA metabolic process" 0.03285168 3.547981 7 1.972953 0.06481481 0.06578597 1 386 3.463987 7 2.020793 0.03645833 0.01813472 0.05996298 1
"442" "GO:0001825" "blastocyst formation" 0.003860086 0.4168893 2 4.797437 0.01851852 0.06582608 1 44 0.3948586 2 5.065104 0.01041667 0.04545455 0.05928022 1
"443" "GO:0033031" "positive regulation of neutrophil apoptotic process" 0.0006328722 0.0683502 1 14.63054 0.009259259 0.06608685 1 4 0.03589624 1 27.85807 0.005208333 0.25 0.03541837 1
"444" "GO:0043984" "histone H4-K16 acetylation" 0.0006351777 0.06859919 1 14.57743 0.009259259 0.06631951 1 13 0.1166628 1 8.571715 0.005208333 0.07692308 0.1106126 1
"445" "GO:0048589" "developmental growth" 0.05384735 5.815514 10 1.719539 0.09259259 0.06632246 1 404 3.62552 10 2.758225 0.05208333 0.02475248 0.003652872 1
"446" "GO:0010310" "regulation of hydrogen peroxide metabolic process" 0.0006415176 0.0692839 1 14.43337 0.009259259 0.066959 1 11 0.09871465 1 10.13021 0.005208333 0.09090909 0.09442352 1
"447" "GO:0021784" "postganglionic parasympathetic fiber development" 0.0006431765 0.06946306 1 14.39614 0.009259259 0.06712625 1 2 0.01794812 1 55.71615 0.005208333 0.5 0.017868 1
"448" "GO:0048539" "bone marrow development" 0.0006446473 0.06962191 1 14.3633 0.009259259 0.06727452 1 7 0.06281842 1 15.9189 0.005208333 0.1428571 0.06116062 1
"449" "GO:1904874" "positive regulation of telomerase RNA localization to Cajal body" 0.0006470684 0.06988339 1 14.30955 0.009259259 0.06751854 1 14 0.1256368 1 7.959449 0.005208333 0.07142857 0.1185989 1
"450" "GO:0097350" "neutrophil clearance" 0.0006505003 0.07025403 1 14.23406 0.009259259 0.06786431 1 5 0.0448703 1 22.28646 0.005208333 0.2 0.0440762 1
"451" "GO:0031145" "anaphase-promoting complex-dependent catabolic process" 0.0006553856 0.07078164 1 14.12796 0.009259259 0.06835631 1 10 0.08974059 1 11.14323 0.005208333 0.1 0.08621936 1
"452" "GO:0043403" "skeletal muscle tissue regeneration" 0.003949703 0.426568 2 4.688584 0.01851852 0.06849718 1 28 0.2512737 2 7.959449 0.01041667 0.07142857 0.02598779 1
"453" "GO:0034330" "cell junction organization" 0.01421666 1.535399 4 2.605186 0.03703704 0.0687975 1 147 1.319187 4 3.032171 0.02083333 0.02721088 0.04366943 1
"454" "GO:0051493" "regulation of cytoskeleton organization" 0.04006415 4.326928 8 1.848887 0.07407407 0.06895519 1 454 4.074223 8 1.963565 0.04166667 0.01762115 0.05289129 1
"455" "GO:0042102" "positive regulation of T cell proliferation" 0.008716037 0.941332 3 3.186973 0.02777778 0.06902909 1 93 0.8345875 3 3.59459 0.015625 0.03225806 0.0513441 1
"456" "GO:0039531" "regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway" 0.0006636498 0.07167418 1 13.95203 0.009259259 0.06918802 1 19 0.1705071 1 5.864857 0.005208333 0.05263158 0.1574727 1
"457" "GO:1902746" "regulation of lens fiber cell differentiation" 0.0006643331 0.07174798 1 13.93768 0.009259259 0.06925675 1 4 0.03589624 1 27.85807 0.005208333 0.25 0.03541837 1
"458" "GO:0016180" "snRNA processing" 0.000665748 0.07190079 1 13.90805 0.009259259 0.06939906 1 23 0.2064034 1 4.844882 0.005208333 0.04347826 0.1873398 1
"459" "GO:1901475" "pyruvate transmembrane transport" 0.0006690515 0.07225756 1 13.83938 0.009259259 0.06973124 1 4 0.03589624 1 27.85807 0.005208333 0.25 0.03541837 1
"460" "GO:0009056" "catabolic process" 0.09193543 9.929027 15 1.510722 0.1388889 0.06997009 1 1400 12.56368 17 1.353106 0.08854167 0.01214286 0.1262139 1
"461" "GO:0019430" "removal of superoxide radicals" 0.0006714782 0.07251965 1 13.78937 0.009259259 0.06997518 1 12 0.1076887 1 9.286024 0.005208333 0.08333333 0.1025544 1
"462" "GO:0070071" "proton-transporting two-sector ATPase complex assembly" 0.0006727602 0.0726581 1 13.76309 0.009259259 0.07010402 1 15 0.1346109 1 7.428819 0.005208333 0.06666667 0.1265138 1
"463" "GO:0016567" "protein ubiquitination" 0.04725871 5.103941 9 1.763343 0.08333333 0.070236 1 626 5.617761 9 1.602062 0.046875 0.014377 0.1117647 1
"464" "GO:0002281" "macrophage activation involved in immune response" 0.0006766657 0.0730799 1 13.68365 0.009259259 0.07049643 1 12 0.1076887 1 9.286024 0.005208333 0.08333333 0.1025544 1
"465" "GO:1990830" "cellular response to leukemia inhibitory factor" 0.01435799 1.550663 4 2.579542 0.03703704 0.07077571 1 129 1.157654 4 3.455265 0.02083333 0.03100775 0.02909096 1
"466" "GO:0034332" "adherens junction organization" 0.004044543 0.4368106 2 4.578644 0.01851852 0.0713624 1 43 0.3858846 2 5.182897 0.01041667 0.04651163 0.05691257 1
"467" "GO:0033047" "regulation of mitotic sister chromatid segregation" 0.004046211 0.4369908 2 4.576756 0.01851852 0.07141315 1 59 0.5294695 2 3.777366 0.01041667 0.03389831 0.09839571 1
"468" "GO:0009303" "rRNA transcription" 0.0006868223 0.07417681 1 13.4813 0.009259259 0.07151615 1 17 0.152559 1 6.554841 0.005208333 0.05882353 0.1421322 1
"469" "GO:1904706" "negative regulation of vascular smooth muscle cell proliferation" 0.000688732 0.07438306 1 13.44392 0.009259259 0.07170776 1 8 0.07179247 1 13.92904 0.005208333 0.125 0.06958858 1
"470" "GO:0031057" "negative regulation of histone modification" 0.00406713 0.43925 2 4.553216 0.01851852 0.0720505 1 45 0.4038327 2 4.952546 0.01041667 0.04444444 0.06168138 1
"471" "GO:0051205" "protein insertion into membrane" 0.0006921983 0.07475741 1 13.3766 0.009259259 0.07205545 1 16 0.1435849 1 6.964518 0.005208333 0.0625 0.1343581 1
"472" "GO:0033058" "directional locomotion" 0.0006948626 0.07504516 1 13.32531 0.009259259 0.07232261 1 4 0.03589624 1 27.85807 0.005208333 0.25 0.03541837 1
"473" "GO:0051310" "metaphase plate congression" 0.004086401 0.4413313 2 4.531743 0.01851852 0.07263931 1 50 0.448703 2 4.457292 0.01041667 0.04 0.07416261 1
"474" "GO:0007566" "embryo implantation" 0.004088564 0.4415649 2 4.529345 0.01851852 0.07270551 1 52 0.4666511 2 4.285857 0.01041667 0.03846154 0.079363 1
"475" "GO:0010876" "lipid localization" 0.02060201 2.225017 5 2.247174 0.0462963 0.0731852 1 257 2.306333 5 2.167943 0.02604167 0.01945525 0.08238965 1
"476" "GO:0032479" "regulation of type I interferon production" 0.004115727 0.4444985 2 4.499453 0.01851852 0.07353834 1 77 0.6910026 2 2.894345 0.01041667 0.02597403 0.1519972 1
"477" "GO:0090263" "positive regulation of canonical Wnt signaling pathway" 0.008959572 0.9676338 3 3.100346 0.02777778 0.07361598 1 78 0.6999766 3 4.285857 0.015625 0.03846154 0.03313818 1
"478" "GO:0072107" "positive regulation of ureteric bud formation" 0.0007092186 0.07659561 1 13.05558 0.009259259 0.07376082 1 4 0.03589624 1 27.85807 0.005208333 0.25 0.03541837 1
"479" "GO:0034116" "positive regulation of heterotypic cell-cell adhesion" 0.0007103604 0.07671892 1 13.03459 0.009259259 0.07387511 1 11 0.09871465 1 10.13021 0.005208333 0.09090909 0.09442352 1
"480" "GO:0016055" "Wnt signaling pathway" 0.02709545 2.926308 6 2.050365 0.05555556 0.07393645 1 243 2.180696 6 2.751415 0.03125 0.02469136 0.02268191 1
"481" "GO:0010468" "regulation of gene expression" 0.3276715 35.38852 43 1.215083 0.3981481 0.073999 1 4185 37.55644 45 1.198197 0.234375 0.01075269 0.1039461 1
"482" "GO:0018342" "protein prenylation" 0.0007122509 0.07692309 1 13 0.009259259 0.07406431 1 10 0.08974059 1 11.14323 0.005208333 0.1 0.08621936 1
"483" "GO:1903507" "negative regulation of nucleic acid-templated transcription" 0.1242823 13.42249 19 1.415535 0.1759259 0.07408962 1 1273 11.42398 19 1.663169 0.09895833 0.01492537 0.02057462 1
"484" "GO:0043415" "positive regulation of skeletal muscle tissue regeneration" 0.0007133156 0.07703809 1 12.98059 0.009259259 0.07417086 1 6 0.05384436 1 18.57205 0.005208333 0.1666667 0.05265672 1
"485" "GO:0031989" "bombesin receptor signaling pathway" 0.0007221661 0.07799394 1 12.82151 0.009259259 0.07505603 1 3 0.02692218 1 37.1441 0.005208333 0.3333333 0.02668254 1
"486" "GO:0007016" "cytoskeletal anchoring at plasma membrane" 0.0007230269 0.07808691 1 12.80624 0.009259259 0.07514208 1 6 0.05384436 1 18.57205 0.005208333 0.1666667 0.05265672 1
"487" "GO:0001302" "replicative cell aging" 0.0007293634 0.07877124 1 12.69499 0.009259259 0.07577523 1 5 0.0448703 1 22.28646 0.005208333 0.2 0.0440762 1
"488" "GO:0045717" "negative regulation of fatty acid biosynthetic process" 0.0007333482 0.0792016 1 12.62601 0.009259259 0.07617319 1 13 0.1166628 1 8.571715 0.005208333 0.07692308 0.1106126 1
"489" "GO:0046931" "pore complex assembly" 0.0007371808 0.07961553 1 12.56036 0.009259259 0.07655578 1 16 0.1435849 1 6.964518 0.005208333 0.0625 0.1343581 1
"490" "GO:0051084" "'de novo' posttranslational protein folding" 0.0007385587 0.07976434 1 12.53693 0.009259259 0.0766933 1 23 0.2064034 2 9.689764 0.01041667 0.08695652 0.01790932 1
"491" "GO:0007296" "vitellogenesis" 0.0007394327 0.07985873 1 12.52211 0.009259259 0.07678051 1 4 0.03589624 1 27.85807 0.005208333 0.25 0.03541837 1
"492" "GO:0034392" "negative regulation of smooth muscle cell apoptotic process" 0.000739974 0.07991719 1 12.51295 0.009259259 0.07683452 1 6 0.05384436 1 18.57205 0.005208333 0.1666667 0.05265672 1
"493" "GO:0033029" "regulation of neutrophil apoptotic process" 0.000741319 0.08006245 1 12.49025 0.009259259 0.07696871 1 6 0.05384436 1 18.57205 0.005208333 0.1666667 0.05265672 1
"494" "GO:0008544" "epidermis development" 0.02739088 2.958215 6 2.02825 0.05555556 0.07697856 1 264 2.369152 6 2.532552 0.03125 0.02272727 0.03222066 1
"495" "GO:0010737" "protein kinase A signaling" 0.0007446878 0.08042628 1 12.43375 0.009259259 0.07730472 1 9 0.08076653 1 12.38137 0.005208333 0.1111111 0.07794127 1
"496" "GO:0002507" "tolerance induction" 0.0007515307 0.08116532 1 12.32053 0.009259259 0.07798689 1 10 0.08974059 1 11.14323 0.005208333 0.1 0.08621936 1
"497" "GO:1902679" "negative regulation of RNA biosynthetic process" 0.125154 13.51664 19 1.405675 0.1759259 0.07822357 1 1288 11.55859 19 1.643799 0.09895833 0.01475155 0.02290139 1
"498" "GO:1901800" "positive regulation of proteasomal protein catabolic process" 0.009204098 0.9940426 3 3.017979 0.02777778 0.07835525 1 97 0.8704838 3 3.44636 0.015625 0.03092784 0.05686736 1
"499" "GO:0090148" "membrane fission" 0.0007560179 0.08164994 1 12.24741 0.009259259 0.07843394 1 10 0.08974059 1 11.14323 0.005208333 0.1 0.08621936 1
"500" "GO:0033036" "macromolecule localization" 0.1577478 17.03676 23 1.350022 0.212963 0.07846328 1 2000 17.94812 24 1.337187 0.125 0.012 0.0872479 1
"501" "GO:2000051" "negative regulation of non-canonical Wnt signaling pathway" 0.0007599975 0.08207973 1 12.18328 0.009259259 0.07883024 1 8 0.07179247 1 13.92904 0.005208333 0.125 0.06958858 1
"502" "GO:0030240" "skeletal muscle thin filament assembly" 0.0007608164 0.08216817 1 12.17016 0.009259259 0.07891176 1 6 0.05384436 1 18.57205 0.005208333 0.1666667 0.05265672 1
"503" "GO:0032367" "intracellular cholesterol transport" 0.0007611737 0.08220676 1 12.16445 0.009259259 0.07894733 1 10 0.08974059 1 11.14323 0.005208333 0.1 0.08621936 1
"504" "GO:0060419" "heart growth" 0.004291747 0.4635087 2 4.314913 0.01851852 0.07900922 1 28 0.2512737 2 7.959449 0.01041667 0.07142857 0.02598779 1
"505" "GO:0051186" "cofactor metabolic process" 0.02111024 2.279906 5 2.193073 0.0462963 0.07929888 1 304 2.728114 5 1.832768 0.02604167 0.01644737 0.1390488 1
"506" "GO:0097306" "cellular response to alcohol" 0.004305428 0.4649862 2 4.301203 0.01851852 0.07943966 1 41 0.3679364 2 5.435722 0.01041667 0.04878049 0.05228096 1
"507" "GO:0071451" "cellular response to superoxide" 0.0007662724 0.08275742 1 12.08351 0.009259259 0.07945477 1 15 0.1346109 1 7.428819 0.005208333 0.06666667 0.1265138 1
"508" "GO:0090175" "regulation of establishment of planar polarity" 0.004311096 0.4655984 2 4.295548 0.01851852 0.07961822 1 38 0.3410143 2 5.864857 0.01041667 0.05263158 0.04560511 1
"509" "GO:0001522" "pseudouridine synthesis" 0.0007681129 0.0829562 1 12.05455 0.009259259 0.07963788 1 18 0.1615331 1 6.190683 0.005208333 0.05555556 0.1498369 1
"510" "GO:0032366" "intracellular sterol transport" 0.0007739002 0.08358122 1 11.96441 0.009259259 0.08021339 1 11 0.09871465 1 10.13021 0.005208333 0.09090909 0.09442352 1
"511" "GO:0051127" "positive regulation of actin nucleation" 0.0007741011 0.08360292 1 11.9613 0.009259259 0.08023337 1 13 0.1166628 1 8.571715 0.005208333 0.07692308 0.1106126 1
"512" "GO:0030183" "B cell differentiation" 0.00931288 1.005791 3 2.982727 0.02777778 0.08050582 1 114 1.023043 3 2.932429 0.015625 0.02631579 0.08326217 1
"513" "GO:0035511" "oxidative DNA demethylation" 0.0007768917 0.0839043 1 11.91834 0.009259259 0.08051073 1 8 0.07179247 1 13.92904 0.005208333 0.125 0.06958858 1
"514" "GO:0048208" "COPII vesicle coating" 0.0007797215 0.08420992 1 11.87509 0.009259259 0.08079192 1 8 0.07179247 1 13.92904 0.005208333 0.125 0.06958858 1
"515" "GO:0030262" "apoptotic nuclear changes" 0.0007819258 0.08444798 1 11.84161 0.009259259 0.0810109 1 17 0.152559 1 6.554841 0.005208333 0.05882353 0.1421322 1
"516" "GO:0040016" "embryonic cleavage" 0.0007830521 0.08456963 1 11.82458 0.009259259 0.08112277 1 8 0.07179247 1 13.92904 0.005208333 0.125 0.06958858 1
"517" "GO:0021913" "regulation of transcription from RNA polymerase II promoter involved in ventral spinal cord interneuron specification" 0.0007835715 0.08462572 1 11.81674 0.009259259 0.08117435 1 4 0.03589624 1 27.85807 0.005208333 0.25 0.03541837 1
"518" "GO:0051783" "regulation of nuclear division" 0.01507591 1.628199 4 2.456703 0.03703704 0.08127084 1 193 1.731993 4 2.309478 0.02083333 0.02072539 0.09626925 1
"519" "GO:0009314" "response to radiation" 0.03460991 3.737871 7 1.872724 0.06481481 0.08158351 1 429 3.849871 7 1.818243 0.03645833 0.01631702 0.09258979 1
"520" "GO:0032480" "negative regulation of type I interferon production" 0.0007892888 0.0852432 1 11.73114 0.009259259 0.08174197 1 23 0.2064034 1 4.844882 0.005208333 0.04347826 0.1873398 1
"521" "GO:0043306" "positive regulation of mast cell degranulation" 0.0007924541 0.08558504 1 11.68429 0.009259259 0.08205607 1 15 0.1346109 1 7.428819 0.005208333 0.06666667 0.1265138 1
"522" "GO:0051414" "response to cortisol" 0.000793322 0.08567878 1 11.6715 0.009259259 0.08214218 1 3 0.02692218 1 37.1441 0.005208333 0.3333333 0.02668254 1
"523" "GO:0044403" "symbiosis, encompassing mutualism through parasitism" 0.01513996 1.635116 4 2.44631 0.03703704 0.08224294 1 229 2.05506 4 1.946416 0.02083333 0.01746725 0.1511982 1
"524" "GO:0030512" "negative regulation of transforming growth factor beta receptor signaling pathway" 0.00439495 0.4746546 2 4.21359 0.01851852 0.08227459 1 56 0.5025473 2 3.979725 0.01041667 0.03571429 0.09008866 1
