file,classifications.background.time,classifications.background.count,classifications.SupportedRear.time,classifications.SupportedRear.count,classifications.Grooming.time,classifications.Grooming.count,classifications.UnsupportedRear.time,classifications.UnsupportedRear.count,bodycentre.raw.distance,bodycentre.distance.moving,bodycentre.raw.speed,bodycentre.speed.moving,bodycentre.time.moving,bodycentre.total.time,bodycentre.time.stationary,bodycentre.percentage.moving,bodycentre.center.raw.distance,bodycentre.center.distance.moving,bodycentre.center.raw.speed,bodycentre.center.speed.moving,bodycentre.center.time.moving,bodycentre.center.total.time,bodycentre.center.time.stationary,bodycentre.center.percentage.moving,bodycentre.center.transitions,bodycentre.periphery.raw.distance,bodycentre.periphery.distance.moving,bodycentre.periphery.raw.speed,bodycentre.periphery.speed.moving,bodycentre.periphery.time.moving,bodycentre.periphery.total.time,bodycentre.periphery.time.stationary,bodycentre.periphery.percentage.moving,bodycentre.periphery.transitions,bodycentre.corners.raw.distance,bodycentre.corners.distance.moving,bodycentre.corners.raw.speed,bodycentre.corners.speed.moving,bodycentre.corners.time.moving,bodycentre.corners.total.time,bodycentre.corners.time.stationary,bodycentre.corners.percentage.moving,bodycentre.corners.transitions
30_02_A_250630122038DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,446.04,140.5,105.32,86.5,8.4,17,33.24,49,6185.606324,5446.792349,10.41698606,16.02751986,339.84,593.8,253.96,57.23139104,782.7725971,726.6713281,13.38530433,17.20339318,42.24,58.48,16.24,72.22982216,70,3865.867842,3316.854115,9.497513369,15.19541009,218.28,407.04,188.76,53.62617925,146,1850.287336,1433.733648,7.257167147,12.61201309,113.68,254.96,141.28,44.58738626,191
29_01_A_250630122004DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,475.36,116,96.2,99,13.08,6,7.56,14,7950.096966,7426.122456,13.40657161,17.7930862,417.36,593,175.64,70.38111298,1280.191328,1259.483571,19.86640795,21.77530379,57.84,64.44,6.6,89.75791434,123,4696.454035,4230.430836,10.98226086,15.72183304,269.08,427.64,158.56,62.922084,192,2118.251626,1816.175895,9.032285628,13.48912578,134.64,234.52,99.88,57.4108818,212
28_04_A_250630120043DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,443.6,125,133.2,116,11.16,10,4.44,6,8157.296387,7529.298894,13.75134253,18.86664051,399.08,593.2,194.12,67.27579231,898.0604936,883.9758607,24.32449874,26.88491061,32.88,36.92,4.04,89.05742145,82,5603.082274,5029.930838,11.93160621,17.03444472,295.28,469.6,174.32,62.879046,160,2453.520261,2028.493033,8.668457676,13.27200362,152.84,283.04,130.2,53.99943471,273
27_03_A_250630120011DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,460.48,126,100.64,88,7.68,12,24.32,36,7150.275249,6558.685723,12.03912185,16.63121443,394.36,593.92,199.56,66.39951509,1228.554203,1190.871236,17.14899781,19.84785393,60,71.64,11.64,83.7520938,108,4010.680009,3524.802771,9.981782004,14.68423084,240.04,401.8,161.76,59.74116476,180,1797.900325,1461.896896,7.511281436,12.1906012,119.92,239.36,119.44,50.10026738,199
26_02_A_250630115946DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,449.96,102,109.52,81,12.2,5,20.72,25,5942.915657,5278.156112,10.01840131,14.88145966,354.68,593.2,238.52,59.79096426,691.613964,669.7631459,15.99477252,19.0490087,35.16,43.24,8.08,81.31359852,68,3753.152662,3194.596494,8.526016951,13.33081495,239.64,440.2,200.56,54.43889141,150,1878.400681,1476.099212,6.896756796,11.40725821,129.4,272.36,142.96,47.51064767,183
25_01_A_250630115921DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,464.84,124,100.32,104,17.52,14,10.04,18,6675.219611,6008.28987,11.2468318,16.13743519,372.32,593.52,221.2,62.73082626,931.1749763,908.6251562,19.41565839,22.03261775,41.24,47.96,6.72,85.9883236,76,4168.107434,3609.547519,9.740389405,14.07779844,256.4,427.92,171.52,59.91774163,156,1973.952704,1598.307512,7.751934906,12.18593712,131.16,254.64,123.48,51.50801131,211
24_04_A_250630113939DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,444.32,135,95.12,92,12.28,13,41.28,45,7396.454505,6696.339855,12.4561376,18.65275726,359,593.8,234.8,60.45806669,1318.11013,1236.323999,16.75279778,24.41398103,50.64,78.68,28.04,64.36197255,114,3935.370495,3484.738349,10.81264561,16.04096092,217.24,363.96,146.72,59.68787779,182,1658.621775,1384.745277,8.850703175,13.62401887,101.64,187.4,85.76,54.23692636,175
23_03_A_250630113906DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,460.96,135.5,108.08,101.5,6.8,15,16.32,31,7464.272398,6926.626261,12.58815502,16.44029778,421.32,592.96,171.64,71.05369671,1032.811389,993.2877038,17.60073942,20.88493911,47.56,58.68,11.12,81.04976142,96,4360.426627,3942.130684,10.69046442,14.41469462,273.48,407.88,134.4,67.0491321,202,1789.694219,1529.485051,8.672679876,12.3784805,123.56,206.36,82.8,59.87594495,199
22_02_A_250630113833DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,496.52,81.5,67.72,69.5,27.8,12,NA,NA,6456.346859,5848.64336,10.89053853,15.9746623,366.12,592.84,226.72,61.75696647,779.0720387,756.8677483,17.95096863,21.77410093,34.76,43.4,8.64,80.0921659,82,4031.204064,3535.996631,9.639416701,14.71125242,240.36,418.2,177.84,57.4748924,165,1616.23014,1319.475487,7.452186187,12.6872643,104,216.88,112.88,47.95278495,177
21_01_A_250630113807DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,477.88,112,84.16,88,16.16,9,14.76,20,6327.199678,5651.42035,10.65615683,14.92715359,378.6,593.76,215.16,63.76313662,985.8135916,923.8578813,12.84949937,17.95991216,51.44,76.72,25.28,67.04900938,96,3614.392895,3096.523358,9.214748356,13.32640454,232.36,392.24,159.88,59.23924128,173,1610.789268,1302.327638,7.68799765,11.52502335,113,209.52,96.52,53.93279878,169
20_04_A_250630111821DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,466.28,94.5,106.92,73.5,4.76,6,14.28,19,5666.933094,4955.616356,9.555735016,13.9862733,354.32,593.04,238.72,59.74639147,697.0467079,661.0597023,13.84127696,17.48835191,37.8,50.36,12.56,75.05957109,72,3188.969907,2645.508275,8.224081667,12.63616868,209.36,387.76,178.4,53.9921601,143,1592.623652,1225.270862,6.729016611,10.92431225,112.16,236.68,124.52,47.3888795,155
19_03_A_250630111737DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,476.92,92,101.2,74,10.72,13,3.36,8,6833.130039,6227.369992,11.52298489,15.04631775,413.88,593,179.12,69.79426644,873.5139659,843.1456184,18.24381717,21.42138258,39.36,47.88,8.52,82.20551378,88,4254.97828,3738.23982,9.744820173,13.24489732,282.24,436.64,154.4,64.63906193,182,1837.360392,1516.255618,7.93470544,11.34242683,133.68,231.56,97.88,57.73017792,177
18_02_A_250630111657DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,495.6,98.5,71.8,71,16.52,15,8.56,16.5,6837.315493,6057.561385,11.52460136,18.00059843,336.52,593.28,256.76,56.72195254,909.4729899,864.942173,17.31669821,22.24645507,38.88,52.52,13.64,74.02894136,84,4033.80394,3462.811966,10.26308757,16.71241296,207.2,393.04,185.84,52.71728068,157,1951.656166,1585.140477,8.611260879,15.14851374,104.64,226.64,122,46.17013766,183
17_01_A_250630111629DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,473.64,103,101.12,85,7.44,6,10.76,14,6664.26691,6060.31296,11.22383945,15.17962369,399.24,593.76,194.52,67.2392886,1047.356777,1019.330243,15.56713403,17.78315148,57.32,67.28,9.96,85.19619501,79,3885.94128,3386.785056,9.802091818,13.99035466,242.08,396.44,154.36,61.06346484,171,1650.446138,1333.575736,7.73404938,11.89418244,112.12,213.4,101.28,52.5398313,172
16_04_A_250630105558DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,477.52,89,87.72,68,15.04,14,12.28,16,6126.65504,5439.666983,10.32535904,15.14889992,359.08,593.36,234.28,60.51638129,890.4608694,847.9195649,14.80154371,18.22698979,46.52,60.16,13.64,77.32712766,74,3697.422222,3137.317788,8.874381292,13.79647224,227.4,416.64,189.24,54.57949309,145,1517.477041,1198.455549,7.492973735,11.68996829,102.52,202.52,100,50.62216077,178
15_03_A_250630105505DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,444.32,128,107.12,85,11.56,13,29.88,40,6256.177769,5578.975192,10.53796282,15.0538996,370.6,593.68,223.08,62.42420159,822.4884427,789.8077713,16.8129281,20.33490657,38.84,48.92,10.08,79.3949305,76,3838.76816,3295.14803,8.969922795,13.26762776,248.36,427.96,179.6,58.03346107,155,1778.591733,1416.297539,7.41945492,11.73986687,120.64,239.72,119.08,50.32537961,173
14_02_A_250630105357DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,445.96,131,124.36,121,18.28,13,4.6,9,6129.787327,5356.184989,10.31950728,15.69992083,341.16,594,252.84,57.43434343,536.6114474,528.6375965,22.6227423,24.61068885,21.48,23.72,2.24,90.55649241,52,4428.693031,3706.588747,8.885820689,14.09992676,262.88,498.4,235.52,52.74478331,131,2195.538417,1667.002644,6.953187286,11.7097685,142.36,315.76,173.4,45.08487459,202
